Database???Annual
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Sulphur Dioxide Emission in Waste Gas(10000 tons),,243.52,274.78,318.22,457.29,516.12,610.84,854.89,1859.10,1974.40,2043.90,2118.00,2217.91,2185.00,2214.00,2321.00,2468.00,2588.80,2549.40,2254.90
Nitrogen Oxides Emission in Waste Gas(10000 tons),,895.74,988.38,1019.66,1233.85,1288.44,1348.40,1503.30,1851.02,2078.00,2227.36,2337.76,2404.27,,,,,,,
Smoke and Dust Emission in Waste Gas(10000 tons),,,,,,,,,1538.01,1740.75,1278.14,1235.77,1278.83,,,,,,,
Particulate Matter Emission(10000 tons),,493.38,537.38,611.40,1088.48,1132.26,1284.92,1608.01,,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics
